Strategy,Threads,Iteration,TotalTime,AvgTime,Throughput
Line_7_Loop_OpenMP,8,1,27.284316,0.000455,2199.065566
Line_7_Loop_OpenMP,8,2,34.233633,0.000571,1752.662372
Line_7_Loop_OpenMP,8,3,35.854538,0.000598,1673.428337
Line_7_Loop_OpenMP,8,4,35.424500,0.000590,1693.743038
Line_7_Loop_OpenMP,8,5,35.451640,0.000591,1692.446370
Line_7_Loop_OpenMP,8,6,37.551609,0.000626,1597.801051
Line_7_Loop_OpenMP,8,7,35.586863,0.000593,1686.015407
Line_7_Loop_OpenMP,8,8,34.807969,0.000580,1723.743179
Line_7_Loop_OpenMP,8,9,34.999699,0.000583,1714.300473
Line_7_Loop_OpenMP,8,10,36.159716,0.000603,1659.305078
