Strategy,Threads,Iteration,TotalTime,AvgTime,Throughput
Sequential,1,1,104.430699,0.001741,574.543698
Sequential,1,2,104.751096,0.001746,572.786369
Sequential,1,3,105.326978,0.001755,569.654623
Sequential,1,4,106.484633,0.001775,563.461587
Sequential,1,5,105.458598,0.001758,568.943652
Sequential,1,6,106.903403,0.001782,561.254350
Sequential,1,7,104.291460,0.001738,575.310767
Sequential,1,8,104.187589,0.001736,575.884329
Sequential,1,9,104.655521,0.001744,573.309455
Sequential,1,10,105.027795,0.001750,571.277347
