Strategy,Threads,Iteration,TotalTime,AvgTime,Throughput
Line_5_Loop_OpenMP,8,1,7.885822,0.000131,7608.592195
Line_5_Loop_OpenMP,8,2,8.213235,0.000137,7305.282022
Line_5_Loop_OpenMP,8,3,9.150674,0.000153,6556.894141
Line_5_Loop_OpenMP,8,4,8.116379,0.000135,7392.458921
Line_5_Loop_OpenMP,8,5,8.571348,0.000143,7000.065929
Line_5_Loop_OpenMP,8,6,10.218031,0.000170,5871.973022
Line_5_Loop_OpenMP,8,7,10.507836,0.000175,5710.024614
Line_5_Loop_OpenMP,8,8,9.346423,0.000156,6419.568042
Line_5_Loop_OpenMP,8,9,9.032334,0.000151,6642.801125
Line_5_Loop_OpenMP,8,10,10.726216,0.000179,5593.771625
